Date,DiversificationRatio
2005-02-14,1.2184441437176063
2005-02-15,1.2185733276457
2005-02-16,1.218186202705396
2005-02-17,1.2181357420749503
2005-02-18,1.2185903795243909
2005-02-22,1.2185213334003298
2005-02-23,1.2184270229095817
2005-02-24,1.2183210733672973
2005-02-25,1.2183822056591274
2005-02-28,1.218104812945914
2005-03-01,1.2179166478291663
2005-03-02,1.2178261375373147
2005-03-03,1.2182833060543545
2005-03-04,1.2191437362236022
2005-03-07,1.218801887338292
2005-03-08,1.2191480542260476
2005-03-09,1.2189454363455166
2005-03-10,1.2187184256342476
2005-03-11,1.2188589959502762
2005-03-14,1.218813198533519
2005-03-15,1.219131428774934
2005-03-16,1.2190658951739661
2005-03-17,1.2190377413500109
2005-03-18,1.2190450226946306
2005-03-21,1.2190717375631033
2005-03-22,1.2193163927860997
2005-03-23,1.2190070799350339
2005-03-24,1.2190309411663622
2005-03-28,1.2193242223201979
2005-03-29,1.219206958368024
2005-03-30,1.2190217792010472
2005-03-31,1.218646551658572
2005-04-01,1.2186675893151402
2005-04-04,1.2186443526745645
2005-04-05,1.2187596254358413
2005-04-06,1.218710233693322
2005-04-07,1.2186009909710362
2005-04-08,1.2182657722390198
2005-04-11,1.218123714498947
2005-04-12,1.2182629671220608
2005-04-13,1.218564070021022
2005-04-14,1.2181115511089569
2005-04-15,1.21754527119538
2005-04-18,1.217428913891174
2005-04-19,1.2173255995133314
2005-04-20,1.217094454727095
2005-04-21,1.2166515274650558
2005-04-22,1.2161487356615843
2005-04-25,1.2160800139085415
2005-04-26,1.2158965890852027
2005-04-27,1.215716318584751
2005-04-28,1.2159955805768112
2005-04-29,1.215601540542739
2005-05-02,1.2155610358679312
2005-05-03,1.2155402823005106
2005-05-04,1.215294657232454
2005-05-05,1.21475652730311
2005-05-06,1.2151800125993681
2005-05-09,1.215279937340134
2005-05-10,1.215239314501153
2005-05-11,1.2152461713306066
2005-05-12,1.2153389117732694
2005-05-13,1.2152879702382826
2005-05-16,1.2152594646373116
2005-05-17,1.2150561890989404
2005-05-18,1.2148056021528444
2005-05-19,1.2144334324506714
2005-05-20,1.21459345378817
2005-05-23,1.214785508888311
2005-05-24,1.2146934632848618
2005-05-25,1.2145898322925495
2005-05-26,1.214681925276331
2005-05-27,1.2145580080810434
2005-05-31,1.2144944609093533
2005-06-01,1.2144766496938386
2005-06-02,1.2143071064867508
2005-06-03,1.2145015865414917
2005-06-06,1.2143097902059325
2005-06-07,1.214165021400771
2005-06-08,1.2144357124915044
2005-06-09,1.2141157268430993
2005-06-10,1.2140013077304372
2005-06-13,1.2141927523796623
2005-06-14,1.2139180427645002
2005-06-15,1.2138682643327872
2005-06-16,1.2136049700977214
2005-06-17,1.2142176229618162
2005-06-20,1.2141862302850326
